time [hrs],Depth to GW [ft]
0,22.84
1,22.84
2,22.84
3,22.84
4,22.84
5,22.84
6,22.84
7,22.84
8,22.84
9,22.84
10,22.84
11,22.84
12,22.84
13,22.84
14,22.84
15,22.84
16,22.84
17,22.84
18,22.84
19,22.84
20,22.84
21,22.84
22,22.84
23,22.84
