time [hrs],Depth to GW [ft]
0,74.45
1,74.45
2,74.47
3,74.47
4,74.47
5,74.46
6,74.47
7,74.47
8,74.47
9,74.47
10,74.47
11,74.47
12,74.46
13,74.41
14,74.41
15,74.38
16,74.37
17,74.37
18,74.41
19,74.43
20,74.48
21,74.52
22,74.56
23,74.57
