time [hrs],Depth to GW [ft]
0,63.01
1,63
2,62.98
3,62.96
4,62.95
5,62.94
6,62.92
7,62.92
8,62.92
9,62.92
10,62.92
11,62.92
12,62.9
13,62.89
14,62.86
15,62.84
16,62.82
17,62.79
18,62.78
19,62.77
20,62.77
21,62.77
22,62.77
23,62.77
