time [hrs],Depth to GW [ft]
0,35.88
1,35.87
2,35.86
3,35.86
4,35.85
5,35.85
6,35.84
7,35.84
8,35.84
9,35.84
10,35.84
11,35.84
12,35.84
13,35.86
14,35.86
15,35.86
16,35.86
17,35.86
18,35.86
19,35.86
20,35.87
21,35.87
22,35.87
23,35.86
