time [hrs],Depth to GW [ft]
0,30.39
1,30.39
2,30.39
3,30.39
4,30.39
5,30.39
6,30.39
7,30.39
8,30.39
9,30.39
10,30.39
11,30.39
12,30.39
13,30.39
14,30.39
15,30.39
16,30.39
17,30.38
18,30.38
19,30.38
20,30.38
21,30.39
22,30.39
23,30.39
